Algorithm,TP,FN,FP,TN,Recall,FalsePositiveRate,Precision,Accuracy
baseline,27,21,7,68,0.5625,0.0933333333333333,0.794117647058823,0.772357723577236
optimized,27,21,0,75,0.5625,0,1,0.829268292682927
